source,driving,source_idx,driving_idx
id10291#oa10caYOOzk#000789#000933.mp4,id10283#h87Y8nir1o0#012592#013069.mp4,1,162
id10285#FUqAFZmZJ80#002494#002681.mp4,id10287#bP0bKbQQlzc#000799#001179.mp4,26,415
id10282#neQO6_CUY4w#004095#004226.mp4,id10287#MHoaMi5hKkE#001008#001291.mp4,91,114
id10289#zFii0ROZZjc#000643#000821.mp4,id10280#XiKRlssBw2M#000330#001148.mp4,97,121
id10292#57KbI2UvGss#010365#010549.mp4,id10291#kt4P4cyTpWQ#001106#001234.mp4,44,87
id10283#h87Y8nir1o0#001401#001522.mp4,id10291#TMCTm7GxiDE#000527#000706.mp4,73,145
id10292#57KbI2UvGss#017459#017610.mp4,id10291#kt4P4cyTpWQ#001903#002115.mp4,53,123
id10283#vaK4t1-WD4M#016892#017089.mp4,id10289#Fvm877eQSqE#002663#002802.mp4,110,118
id10283#x6M3KQ8-gM4#000018#000441.mp4,id10292#0zvzJa5HOUQ#006139#006273.mp4,335,105
id10285#m-uILToQ9ss#007090#007351.mp4,id10283#r9-0pljhZqs#013264#013592.mp4,164,114
id10283#N69Hp2DGMLk#000893#001589.mp4,id10291#oLJhH76d0kU#002289#002484.mp4,218,0
id10283#N69Hp2DGMLk#004133#005157.mp4,id10284#YN4cTBWM-QE#020799#021121.mp4,969,155
id10283#x6M3KQ8-gM4#005643#006041.mp4,id10292#57KbI2UvGss#009063#009162.mp4,461,46
id10283#vaK4t1-WD4M#021064#021192.mp4,id10285#Zdmm9Mrr8Ts#001047#001165.mp4,60,75
id10289#3g9CjhcNEWk#002484#002710.mp4,id10291#uiBjIKX_0l8#000793#001178.mp4,172,304
id10286#ZAK9gLYNqPs#001223#001605.mp4,id10285#Zdmm9Mrr8Ts#001165#001497.mp4,158,265
id10282#neQO6_CUY4w#000166#000386.mp4,id10291#d2Lasybvo7s#005026#005502.mp4,11,49
id10283#r9-0pljhZqs#003725#003847.mp4,id10290#gTbcgoYXWdU#001173#001330.mp4,121,45
id10285#m-uILToQ9ss#006301#006496.mp4,id10286#isKyMAYUOgg#007215#007387.mp4,156,99
id10282#neQO6_CUY4w#001043#001882.mp4,id10291#d2Lasybvo7s#001197#001806.mp4,786,579
id10285#FUqAFZmZJ80#006074#006271.mp4,id10291#uiBjIKX_0l8#000297#000704.mp4,116,378
id10282#qkZNuvX1UNo#006234#006454.mp4,id10287#bP0bKbQQlzc#000799#001179.mp4,147,109
id10281#ni6gO5jDLJE#000584#000815.mp4,id10285#FUqAFZmZJ80#006074#006271.mp4,196,17
id10285#FUqAFZmZJ80#002043#002280.mp4,id10287#bP0bKbQQlzc#000799#001179.mp4,75,309
id10292#0zvzJa5HOUQ#006644#006760.mp4,id10284#Uzxv7Axh3Z8#019680#019858.mp4,99,44
id10283#vaK4t1-WD4M#031553#031737.mp4,id10289#Fvm877eQSqE#002663#002802.mp4,56,150
id10283#r9-0pljhZqs#014353#014609.mp4,id10286#isKyMAYUOgg#010624#010965.mp4,90,260
id10291#d2Lasybvo7s#000793#001178.mp4,id10287#bP0bKbQQlzc#000799#001179.mp4,356,236
id10283#u3s9xdUlmmk#003759#004783.mp4,id10290#cIi74VD0LF0#004590#004880.mp4,1141,105
id10283#p3q7Z0O6rgg#000270#000454.mp4,id10282#qkZNuvX1UNo#003837#004064.mp4,31,193
id10291#iPZGPcrYIZs#003641#003830.mp4,id10286#isKyMAYUOgg#010454#010602.mp4,118,107
id10286#isKyMAYUOgg#010454#010602.mp4,id10289#zFii0ROZZjc#002582#002807.mp4,135,43
id10287#MHoaMi5hKkE#001008#001291.mp4,id10286#9K2YB1d8BqY#001493#001925.mp4,313,90
id10282#qkZNuvX1UNo#000766#000891.mp4,id10280#XiKRlssBw2M#001538#002000.mp4,104,440
id10292#ENIHEvg_VLM#002428#002673.mp4,id10284#EoCPhxtWUOc#002260#002691.mp4,184,25
id10291#TMCTm7GxiDE#001732#002080.mp4,id10287#bP0bKbQQlzc#003638#003940.mp4,280,345
id10291#kt4P4cyTpWQ#001903#002115.mp4,id10290#cIi74VD0LF0#004448#004569.mp4,190,93
id10286#0sETQ5nxvf8#001227#001472.mp4,id10284#YN4cTBWM-QE#020799#021121.mp4,243,134
id10283#H4mDLFeGpLU#002544#002691.mp4,id10284#YN4cTBWM-QE#021729#021933.mp4,66,212
id10285#m-uILToQ9ss#003683#004017.mp4,id10284#YN4cTBWM-QE#021127#021712.mp4,248,221
id10283#N69Hp2DGMLk#007129#007281.mp4,id10292#57KbI2UvGss#005552#005758.mp4,73,173
id10283#N69Hp2DGMLk#006184#006353.mp4,id10284#YN4cTBWM-QE#021127#021712.mp4,20,652
id10285#FUqAFZmZJ80#002895#003020.mp4,id10291#TMCTm7GxiDE#002685#002794.mp4,35,47
id10286#9K2YB1d8BqY#002627#002747.mp4,id10287#bP0bKbQQlzc#003638#003940.mp4,38,237
id10281#ni6gO5jDLJE#004902#005086.mp4,id10283#p5g1heXp34o#003148#003459.mp4,177,164
id10291#d2Lasybvo7s#000067#000276.mp4,id10283#u3s9xdUlmmk#004783#004890.mp4,54,56
id10283#Ma_3RlzPUOM#003423#003642.mp4,id10285#FUqAFZmZJ80#006300#006400.mp4,106,45
id10291#d2Lasybvo7s#001885#002323.mp4,id10286#DPPq8w5ILrA#003930#004117.mp4,208,50
id10286#DPPq8w5ILrA#000600#000977.mp4,id10280#XiKRlssBw2M#000330#001148.mp4,169,231
id10286#9K2YB1d8BqY#002759#002883.mp4,id10285#m-uILToQ9ss#004267#004374.mp4,119,24
id10282#37XQxZ5lBD8#000876#001020.mp4,id10280#XiKRlssBw2M#000330#001148.mp4,106,492
